kappa,probability_order,description,deployability,brier_20d,brier_60d,weighted_brier,hard_accuracy_20d,hard_accuracy_60d,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,median_dynamic_lambda,shuffle_id
0.25,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.4263464324556266,0.48044956613754364,0.4642186260329685,0.8463949843260188,1.0,0.9026208454653651,0.21267099266331357,36.818940989900405,36.09205690761723,
0.25,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7664718243051564,0.7406376539118383,0.7483879050298338,0.335423197492163,0.47962382445141066,0.9048613404821708,0.21267099266331363,36.87495336532055,36.09205690761723,0.0
0.25,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7805784073772567,0.7186940802441267,0.7372593783840656,0.31974921630094044,0.5235109717868338,0.9052396886393621,0.21267099266331363,36.88441206925033,36.09205690761723,1.0
0.25,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7852806017346234,0.7249636727206158,0.743058751424818,0.32601880877742945,0.5109717868338558,0.9050818704784889,0.21267099266331363,36.88046661522849,36.09205690761723,2.0
0.25,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.788415397972868,0.7280984689588603,0.7461935476630626,0.3072100313479624,0.5047021943573667,0.9053561428186422,0.21267099266331363,36.88732342373233,36.09205690761723,3.0
0.25,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7852806017346236,0.7375028576735938,0.7518361808919027,0.30407523510971785,0.48589341692789967,0.9046173093146223,0.21267099266331363,36.86885258613183,36.09205690761723,4.0
0.5,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.18948730331361183,0.21353314050557498,0.206319389347986,1.0,1.0,0.8081618752005303,0.1990429397274755,34.18490567456278,32.97529768552339,
0.5,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.904220845633361,0.7276397235776751,0.780614060194381,0.2852664576802508,0.48589341692789967,0.8178283970293968,0.19904293972747547,34.42656872028443,32.97529768552339,0.0
0.5,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.885412068203894,0.7213701311011863,0.7705827122319986,0.30407523510971785,0.49216300940438873,0.8184870289910283,0.19904293972747547,34.44303451932522,32.97529768552339,1.0
0.5,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.8948164569186274,0.6837525762422522,0.7470717404451647,0.2946708463949843,0.5297805642633229,0.8175174353824877,0.1990429397274755,34.4187946791117,32.97529768552339,2.0
0.5,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.8477945133449597,0.6868873724804966,0.7351595147398355,0.34169278996865204,0.5266457680250783,0.8162513377275898,0.1990429397274755,34.387142237739255,32.97529768552339,3.0
0.5,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.9104904381098501,0.6931569649569858,0.7583570069028449,0.27899686520376177,0.5203761755485894,0.8162548795701672,0.19904293972747553,34.387230783803695,32.97529768552339,4.0
0.75,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.04737182582840296,0.053383285126393745,0.0515798473369965,1.0,1.0,0.6306404012420702,0.1854148867916374,29.474307766884504,27.993854386334522,
0.75,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.077152390091726,0.8057343823050771,0.8871597846410717,0.31347962382445144,0.49843260188087773,0.6487665476273281,0.18541488679163742,29.927461426515954,27.993854386334522,0.0
0.75,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.072450195734359,0.8198409653771774,0.8956237344843319,0.3166144200626959,0.4890282131661442,0.6437622095911719,0.18541488679163742,29.802352975612052,27.993854386334522,1.0
0.75,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.119472139308027,0.8057343823050771,0.8998557094059619,0.2852664576802508,0.49843260188087773,0.6523533362531714,0.18541488679163742,30.01713114216204,27.993854386334522,2.0
0.75,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.095961167521193,0.8151387710198107,0.8993854899702254,0.30094043887147337,0.49216300940438873,0.6491158577342697,0.18541488679163745,29.936194179189496,27.993854386334522,3.0
0.75,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.0630458070196254,0.8104365766624438,0.8862193457695982,0.322884012539185,0.4952978056426332,0.6479716606745772,0.18541488679163745,29.90758925269718,27.993854386334522,4.0
1.0,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.0,0.0,0.0,1.0,1.0,0.29626420524140956,0.17178683385579938,20.84234180815123,19.488783279839616,
1.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.4482758620689655,0.9905956112852664,1.127899686520376,0.27586206896551724,0.5047021943573667,0.3236299751971243,0.17178683385579938,21.5264860570441,19.488783279839616,0.0
1.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.3730407523510972,1.0156739811912225,1.1228840125391848,0.31347962382445144,0.49216300940438873,0.3271994234522175,0.17178683385579938,21.61572226342143,19.488783279839616,1.0
1.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.4357366771159874,0.9717868338557993,1.1109717868338556,0.28213166144200624,0.5141065830721003,0.3224401591120931,0.17178683385579938,21.496740654918323,19.488783279839616,2.0
1.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.4858934169278997,0.9592476489028213,1.1172413793103448,0.25705329153605017,0.5203761755485894,0.3343383199624039,0.17178683385579935,21.79419467617609,19.488783279839616,3.0
1.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,1.297805642633229,1.0094043887147335,1.095924764890282,0.3510971786833856,0.4952978056426332,0.3331485038773728,0.17178683385579938,21.764449274050314,19.488783279839616,4.0
